title;pid;issn;eissn;pidurl
Accounts of Chemical Research;achre4;0001-4842;1520-4898;http://pubs.acs.org/journal/achre4
ACS Applied Materials & Interfaces;aamick;1944-8244;1944-8252;http://pubs.acs.org/journal/aamick
ACS Catalysis;accacs;;2155-5435;http://pubs.acs.org/journal/accacs
ACS Chemical Biology;acbcct;1554-8929;1554-8937;http://pubs.acs.org/journal/acbcct
ACS Chemical Neuroscience;acncdm;1948-7193;;http://pubs.acs.org/journal/acncdm
ACS Combinatorial Science;acsccc;2156-8952;2156-8944;http://pubs.acs.org/journal/acsccc
ACS Journal of Combinatorial Chemistry;jcchff;2156-8952;2156-8944;http://pubs.acs.org/journal/jcchff
ACS Macro Letters;amlccd;;2161-1653;http://pubs.acs.org/journal/amlccd
ACS Medicinal Chemistry Letters;amclct;1948-5875;;http://pubs.acs.org/journal/amclct
ACS Nano;ancac3;1936-0851;1936-086X;http://pubs.acs.org/journal/ancac3
ACS Sustainable Chemistry & Engineering;ascecg;;2168-0485 ;http://pubs.acs.org/journal/ascecg
ACS Symposium Series;symposium;0097-6156;1947-5918;http://pubs.acs.org/series/symposium
ACS Synthetic Biology;asbcd6;;2161-5063;http://pubs.acs.org/journal/asbcd6
Advances in Chemistry;advances;0065-2393;;http://pubs.acs.org/series/advances
Analytical Chemistry;ancham;0003-2700;1520-6882;http://pubs.acs.org/journal/ancham
Industrial & Engineering Chemistry Analytical Edition ;iecac0;0003-2700;1520-6882;http://pubs.acs.org/journal/iecac0
