title;pid;url
1, 2, 3... comptines !;ERES_MOREA_2007_01;http://www.cairn.info/1-2-3-comptines--9782749207490.htm
1948 : la guerre de Palestine;AUTRE_ROGAN_2002_01;http://www.cairn.info/1948-la-guerre-de-palestine--9782746702400.htm
À l'école du sujet;ERES_DUMEZ_2003_01;http://www.cairn.info/a-l-ecole-du-sujet--9782749202358.htm
À l'écoute des bébés et de ceux qui les entourent;ERES_GIAMP_2006_01;http://www.cairn.info/a-l-ecoute-des-bebes-et-de-ceux-qui-les-entourent--9782749206769.htm
À quoi sert la sociologie&nbsp?;DEC_LAHIR_2004_01;http://www.cairn.info/a-quoi-sert-la-sociologie--9782707144218.htm
L'ABC de la VAE ;ERES_BOUTI_2009_01;http://www.cairn.info/l-abc-de-la-vae--9782749211091.htm
Accompagner;ERES_TITRA_2003_01;http://www.cairn.info/accompagner--9782865868308.htm
Accompagner des personnes en deuil;ERES_BERCO_2004_01;http://www.cairn.info/accompagner-des-personnes-en-deuil--9782749202228.htm
Accueillir;ERES_MYRIA_2007_01;http://www.cairn.info/accueillir--9782865868292.htm
Accueillir l'enfant entre 2 et 3 ans;ERES_THOLO_2006_01;http://www.cairn.info/accueillir-l-enfant-entre-2-et-3-ans--9782749206813.htm
L'action collective en Europe. Collective Action in Europe;SCPO_BALME_2002_01;http://www.cairn.info/l-action-collective-en-europe-collective-action-in--978272460855.htm
Action publique et économie solidaire;ERES_LAVIL_2005_01;http://www.cairn.info/action-publique-et-economie-solidaire--9782749204895.htm
L'action sociale à la SNCF 1945-1985;ERES_FELLE_2006_01;http://www.cairn.info/l-action-sociale-a-la-sncf-1945-1985--9782749206721.htm
L'activité évaluative réinterrogée;DBU_FIGAR_2001_01;http://www.cairn.info/l-activite-evaluative-reinterrogee--9782804136147.htm
Actualité de l'hystérie;ERES_MICHE_2001_01;http://www.cairn.info/actualite-de-l-hysterie--9782865868551.htm
Actualité des troubles névrotiques chez l'enfant et l'adolescent;ERES_EMMAN_2011_01;http://www.cairn.info/actualite-des-troubles-nevrotiques-chez-l-enfant--9782749213644.htm
Actualité du trauma;ERES_CHEML_2002_01;http://www.cairn.info/actualite-du-trauma--9782749200637.htm
Actualités de la psychanalyse chez l’enfant et chez l’adolescent;ERES_FORGE_2006_01;http://www.cairn.info/actualites-de-la-psychanalyse-chez-l-enfant-et-che--9782749206868.htm
Actualités psychopathologiques de l'adolescence;DBU_MORHA_2009_01;http://www.cairn.info/actualites-psychopathologiques-de-l-adolescence--9782804104085.htm
Les addictions comportementales;MARD_VARES_2009_01;http://www.cairn.info/les-addictions-comportementales--9782804700225.htm
L'administrateur ad hoc;ERES_TETU_2002_01;http://www.cairn.info/l-administrateur-ad-hoc--9782749200033.htm
L'adolescence aujourd'hui;ERES_BRACO_2007_01;http://www.cairn.info/l-adolescence-aujourd-hui--978274920509.htm
Affliction;GREU_GUTTO_1999_01;http://www.cairn.info/affliction--2825706353.htm
L'agir adolescent;ERES_HOFF_2004_01;http://www.cairn.info/l-agir-adolescent--9782865868353.htm
Agir en clinique du travail;ERES_LHUIL_2010_01;http://www.cairn.info/agir-en-clinique-du-travail--9782749211725.htm
L'agir innovationnel;DBU_CROS_2007_01;http://www.cairn.info/l-agir-innovationnel--9782804155254.htm
Agir pour la promotion de la santé;ERES_CHERU_2011_01;http://www.cairn.info/agir-pour-la-promotion-de-la-sante--9782749214429.htm
Agricultures et paysanneries du monde;QUAE_WOLFE_2010_01;http://www.cairn.info/agricultures-et-paysanneries-du-monde--9782759206445.htm
Agrimonde;QUAE_PAILL_2010_01;http://www.cairn.info/agrimonde--9782759208883.htm
Aides médico-psychologiques : prendre soin au quotidien;ERES_AIME_2009_01;http://www.cairn.info/aides-medico-psychologiques--9782749210858.htm
Alain Savary : politique et honneur;SCPO_HURTI_2002_01;http://www.cairn.info/alain-savary-politique-et-honneur--2724608763.htm
L'allaitement maternel : une dynamique à bien comprendre;ERES_BLIN_2003_01;http://www.cairn.info/l-allaitement-maternel-une-dynamique--9782749207773.htm
Alternances en formation;DBU_MERHA_2007_01;http://www.cairn.info/alternances-en-formation--9782804155278.htm
L'Amazonie;QUAE_DORIS_2010_01;http://www.cairn.info/l-amazonie--9782759203260.htm
Amérique latine, les élections contre la démocratie ?;SCPO_DABEN_2008_01;http://www.cairn.info/amerique-latine-les-elections-contre-la-democratie--9782724610390.htm
Analyse de groupe et psychodrame;ERES_FALGU_2002_01;http://www.cairn.info/analyse-de-groupe-et-psychodrame--9782865869879.htm
Analyse factorielle simple en sociologie;DBU_BUSCA_2009_01;http://www.cairn.info/analyse-factorielle-simple-en-sociologie--9782804102180.htm
L'analyse qualitative en éducation;DBU_PAQUA_2006_01;http://www.cairn.info/l-analyse-qualitative-en-education--9782804150518.htm
Analyses des objets enseignés;DBU_SCHNE_2006_01;http://www.cairn.info/analyses-des-objets-enseignes--9782804152437.htm
Analyses économiques de la transition postsocialiste ;DEC_ANDRE_2002_01;http://www.cairn.info/analyses-economiques-de-la-transition-postsocialis--9782707137111.htm
