title;pid;pidurl;issn;eissn
Alternatives économiques;AE;http://www.cairn.info/./magazine-alternatives-economiques.htm;0247-3739;N/A
Alternatives Internationales;AI;http://www.cairn.info/./magazine-alternatives-internationales.htm;1634-6386;N/A
Sciences-humaines;SH;http://www.cairn.info/./magazine-sciences-humaines.htm;0996-6994;N/A
Grands Dossiers des Sciences Hum.;GDSH;http://www.cairn.info/./magazine-les-grands-dossiers-des-sciences-humaines.htm;1777-375X;N/A
Le Monde diplomatique;SNI_LMD;http://www.cairn.info/./magazine-le-monde-diplomatique.htm;0026-9395;N/A
Manière de voir;SNI_MDV;http://www.cairn.info/./magazine-maniere-de-voir.htm;1241-6290;N/A
Le Magazine Littéraire;SNI_LML;http://www.cairn.info/./magazine-le-magazine-litteraire.htm;0024-9807;N/A
L'Histoire;SNI_LHIST;http://www.cairn.info/./magazine-l-histoire.htm;0182-2411;N/A
Alternatives économiques;magazine-alternatives-economiques;http://www.cairn.info/./magazine-alternatives-economiques.htm;0247-3739;N/A
Alternatives Internationales;magazine-alternatives-internationales;http://www.cairn.info/./magazine-alternatives-internationales.htm;1634-6386;N/A
Sciences-humaines;magazine-sciences-humaines;http://www.cairn.info/./magazine-sciences-humaines.htm;0996-6994;N/A
Grands Dossiers des Sciences Hum.;magazine-les-grands-dossiers-des-sciences-humaines;http://www.cairn.info/./magazine-les-grands-dossiers-des-sciences-humaines.htm;1777-375X;N/A
Le Monde diplomatique;magazine-le-monde-diplomatique;http://www.cairn.info/./magazine-le-monde-diplomatique.htm;0026-9395;N/A
Manière de voir;magazine-maniere-de-voir;http://www.cairn.info/./magazine-maniere-de-voir.htm;1241-6290;N/A
Le Magazine Littéraire;magazine-le-magazine-litteraire;http://www.cairn.info/./magazine-le-magazine-litteraire.htm;0024-9807;N/A
L'Histoire;magazine-l-histoire;http://www.cairn.info/./magazine-l-histoire.htm;0182-2411;N/A
