title;issn;eissn;pid
AAPG Bulletin ;0149-1423 ;;aapgbull.geoscienceworld.org
American Mineralogist ;0003-004X ;;ammin.geoscienceworld.org
Bulletin de la Société Géologique de France ;0037-9409 ;;bsgf.geoscienceworld.org
Bulletin of Canadian Petroleum Geology ;0007-4802 ;;bcpg.geoscienceworld.org
Bulletin of the Seismological Society of America ;0037-1106 ;;bssa.geoscienceworld.org
The Canadian Mineralogist ;0008-4476  ;(1499-1261);canmin.geoscienceworld.org
Clay Minerals ;0009-8558  ;(1471-8030);claymin.geoscienceworld.org
Clays and Clay Minerals ;0009-8604 ;(1552-8367);ccm.geoscienceworld.org
Economic Geology ;0361-0128 ;;econgeol.geoscienceworld.org
Elements ;1811-5209;(1811-5217) ;elements.geoscienceworld.org
Environmental and Engineering Geoscience ;1078-7275 ;;eeg.geoscienceworld.org
Environmental Geosciences ;1075-9565  ;(1526-0984);eg.geoscienceworld.org
European Journal of Mineralogy ;0935-1221  ;(1617-4011);eurjmin.geoscienceworld.org
Exploration and Mining Geology ;0964-1823 ;;emg.geoscienceworld.org
Geochemistry: Exploration, Environment, Analysis ;1467-7873 ;;geea.geoscienceworld.org
Geological Magazine ;0016-7568 ;;geolmag.geoscienceworld.org
Geology ;0091-7613 ;;geology.geoscienceworld.org
Geophysics ;0016-8033 ;(1942-2156);geophysics.geoscienceworld.org
Geosphere ;1553-040X ;;geosphere.geoscienceworld.org
GSA Bulletin ;0016-7606 ;;bulletin.geoscienceworld.org
Italian Journal of Geosciences ;1555-7332  ;(1555-7340);italianjgeo.geoscienceworld.org
Journal of Environmental and Engineering Geophysics ;1083-1363 ;;jeeg.geoscienceworld.org
Journal of Foraminiferal Research ;0096-1191 ;;jfr.geoscienceworld.org
Journal of Paleontology ;0022-3360 ;;jpaleontol.geoscienceworld.org
Journal of Sedimentary Research ;1527-1404 ;;jsedres.geoscienceworld.org
Journal of the Geological Society ;0016-7649 ;;jgs.geoscienceworld.org
Lithosphere ;1947-4253 ;;lithosphere.geoscienceworld.org
Micropaleontology ;0026-2803 ;;micropal.geoscienceworld.org
Mineralogical Magazine ;0026-461X ;;minmag.geoscienceworld.org
Palaios ;0883-1351 ;;palaios.geoscienceworld.org
Paleobiology ;0094-8373 ;;paleobiol.geoscienceworld.org
Palynology ;0191-6122 ;;palynology.geoscienceworld.org
Petroleum Geoscience ;1354-0793 ;;pg.geoscienceworld.org
Quarterly Journal of Engineering Geology and Hydrogeology ;1470-9236 ;;qjegh.geoscienceworld.org
Reviews in Mineralogy and Geochemistry ;1529-6466 ;;rimg.geoscienceworld.org
Rocky Mountain Geology ;1555-7332 ;(1555-7340);rmg.geoscienceworld.org
Seismological Research Letters ;0895-0695 ;;srl.geoscienceworld.org
South African Journal of Geology ;1012-0750 ;;sajg.geoscienceworld.org
The Leading Edge ;1070-485x ;;tle.geoscienceworld.org
Vadose Zone Journal ;1539-1663 ;;vzj.geoscienceworld.org
