title;isbn;eisbn;pid
Environmental Evasion;9781438432816;9781438432830;9781438432830
Reading Fiction in Antebellum America;9780801898747;9780801899331;9780801899331
The Exceptionalist State and the State of Exception;9780801898495;9780801899348;9780801899348
A Familiar Strangeness;9780820331744;9780820337418;9780820337418
American Gothic;9781587293498;9781587293023;9781587293023
Behind the Lines;9780877459989;9781587297380;9781587297380
Hawthorne in His Own Time;9781587295836;9781587297113;9781587297113
Lost in the Customhouse;9780877459224;9781587291357;9781587291357
Rooted;9780877459873;9781587296734;9781587296734
The Novel and the American Left;9780877458807;9781587294754;9781587294754
Walt Whitman and the World;9780877454984;9781587290046;9781587290046
Bad Land Pastoralism in Great Plains Fiction;9781587299070;9781587299391;9781587299391
Kin of Another Kind;;9780472027910;9780472027910
Herman Melville’s Whaling Years;9780826513823;9780826591449;9780826591449
Peabody College;9780826514257;9780826591685;9780826591685
The Anxiety of Obsolescence;9780826515193;9780826592101;9780826592101
Representing Segregation;9781438430331;9781438430348;9781438430348
Writing the Black Revolutionary Diva;9780253355256;9780253004703;9780253004703
The Ethics and Poetics of Alterity in Asian American Poetry;9780877459828;9781587296796;9781587296796
Brown Gumshoes;9780292706965;9780292796782;9780292796782
Your Brain on Latino Comics;9780292719347;9780292795211;9780292795211
With Her Machete in Her Hand;9780292709713;9780292796256;9780292796256
New Francophone African and Caribbean Theatres;9780253355133;9780253004581;9780253004581
Poetry's Afterlife;9780472050994;9780472026708;9780472026708
Gertrude Stein and the Essence of What Happens;9780826514622;9780826591845;9780826591845
The House That Jack Built;9780819563392;9780819569622;9780819569622
Secret Histories;9780801897122;9780801899232;9780801899232
Margaret Fuller, Wandering Pilgrim;9780820328942;9780820336596;9780820336596
The Inverted Conquest;9780826516770;9780826516794;9780826516794
Red, Black, and Jew;9780292719262;9780292799264;9780292799264
The End of the Holocaust;9780253356437;9780253000927;9780253000927
Can Literature Promote Justice?;9780826515230;9780826592125;9780826592125
Sacred Fictions;9780812233711;9780812201673;9780812201673
Native Authenticity;9781438431673;9781438431697;9781438431697
Soft Canons;9780877456896;9781587292873;9781587292873
Women, Celebrity, and Literary Culture between the Wars;9780292716445;9780292794870;9780292794870
Whitewashing Uncle Tom’s Cabin;9780826514752;9780826591890;9780826591890
Intimate with Walt;9780877457671;9781587293382;9781587293382
Poe in His Own Time;9781587298639;9781587299322;9781587299322
The Evolution of Walt Whitman;9780877456827;9781609380335;9781609380335
Chasing the White Whale;9781587299063;9781587299407;9781587299407
From Trickster to Badman;9780812213331;9780812203110;9780812203110
Rhythms of the Afro-Atlantic World;9780472050963;9780472027477;9780472027477
Some Liked It Hot;9780819569073;9780819569677;9780819569677
Ogimaag;9780803234048;9780803234512;9780803234512
The Allen Site;9780826342959;9780826342973;9780826342973
The Poor Indians;9780812219678;9780812203080;9780812203080
Red Matters;9780812218039;9780812200683;9780812200683
Poison Arrows;9780292714281;9780292795389;9780292795389
Education beyond the Mesas;9780803216266;9780803234444;9780803234444
Journeys West;9780803225084;9780803228276;9780803228276
Visualizing the Sacred;9780292723085;9780292784659;9780292784659
Dance of Person and Place, The;9781438431338;9781438431345;9781438431345
Liberalism without Illusions;9781602582088;9781602584969;9781602584969
China in 2020;;9780815704799;9780815704799
Counsel for the Situation;;9780815704942;9780815704942
Detention and Denial;;9780815704928;9780815704928
