title;issn;eissn;pid;lien
3 Biotech;2190-572X;2190-5738;13205;http://link.springer.com/journal/13205
3D Research;;2092-6731;13319;http://link.springer.com/journal/13319
4OR;1619-4500;1614-2411;10288;http://link.springer.com/journal/10288
AAPS PharmSciTech;;1530-9932;12249;http://link.springer.com/journal/12249
Abdominal Imaging;0942-8925;1432-0509;261;http://link.springer.com/journal/261
Abhandlungen aus dem Mathematischen Seminar der UniversitÃ¤t Hamburg;0025-5858;1865-8784;12188;http://link.springer.com/journal/12188
Academic Questions;0895-4852;1936-4709;12129;http://link.springer.com/journal/12129
Accreditation and Quality Assurance;0949-1775;1432-0517;769;http://link.springer.com/journal/769
Acoustical Physics;1063-7710;1562-6865;11441;http://link.springer.com/journal/11441
Acta Analytica;0353-5150;1874-6349;12136;http://link.springer.com/journal/12136
Acta Applicandae Mathematicae;0167-8019;1572-9036;10440;http://link.springer.com/journal/10440
Acta Biotheoretica;0001-5342;1572-8358;10441;http://link.springer.com/journal/10441
Acta Diabetologica;0940-5429;1432-5233;592;http://link.springer.com/journal/592
Acta Endoscopica;0240-642X;1958-5454;10190;http://link.springer.com/journal/10190
acta ethologica;0873-9749;1437-9546;10211;http://link.springer.com/journal/10211
Acta Geodaetica et Geophysica;2213-5812;2213-5820;40328;http://link.springer.com/journal/40328
Acta Geophysica;1895-6572;1895-7455;11600;http://link.springer.com/journal/11600
Acta Geotechnica;1861-1125;1861-1133;11440;http://link.springer.com/journal/11440
Acta Informatica;0001-5903;1432-0525;236;http://link.springer.com/journal/236
Acta Juridica Hungarica;1216-2574;1588-2616;10467;http://link.springer.com/journal/10467
Acta Linguistica Hungarica;1216-8076;1588-2624;10445;http://link.springer.com/journal/10445
Acta Mathematica;0001-5962;1871-2509;11511;http://link.springer.com/journal/11511
Acta Mathematica Hungarica;0236-5294;1588-2632;10474;http://link.springer.com/journal/10474
Acta Mathematica Sinica, English Series;1439-8516;1439-7617;10114;http://link.springer.com/journal/10114
Acta Mathematicae Applicatae Sinica, English Series;0168-9673;1618-3932;10255;http://link.springer.com/journal/10255
Acta Mechanica;0001-5970;1619-6937;707;http://link.springer.com/journal/707
Acta Mechanica Sinica;0567-7718;1614-3116;10409;http://link.springer.com/journal/10409
Acta Metallurgica Sinica (English Letters);1006-7191;2194-1289;40195;http://link.springer.com/journal/40195
Acta Meteorologica Sinica;0894-0525;2191-4788;13351;http://link.springer.com/journal/13351
Acta Neurochirurgica;0001-6268;0942-0940;701;http://link.springer.com/journal/701
Acta Neurologica Belgica;0300-9009;2240-2993;13760;http://link.springer.com/journal/13760
Acta Neuropathologica;0001-6322;1432-0533;401;http://link.springer.com/journal/401
Acta Oceanologica Sinica;0253-505X;1869-1099;13131;http://link.springer.com/journal/13131
Acta Parasitologica;1230-2821;1896-1851;11686;http://link.springer.com/journal/11686
Acta Physica Academiae Scientiarum Hungaricae;0001-6705;;12658;http://link.springer.com/journal/12658
Acta Physica Hungarica;0231-4428;;12242;http://link.springer.com/journal/12242
Acta Physica Hungarica Series A, Heavy Ion Physics;1219-7580;1588-2675;12656;http://link.springer.com/journal/12656
Acta Physica Hungarica Series B, Quantum Electronics;1589-9535;1786-3767;12657;http://link.springer.com/journal/12657
Acta Physiologiae Plantarum;0137-5881;1861-1664;11738;http://link.springer.com/journal/11738
Acta Theriologica;0001-7051;2190-3743;13364;http://link.springer.com/journal/13364
Acta Veterinaria Scandinavica;;1751-0147;13028;http://link.springer.com/journal/13028
"Addiction Science &amp; Clinical Practice";;1940-0640;13722;http://link.springer.com/journal/13722
ADHD Attention Deficit and Hyperactivity Disorders;1866-6116;1866-6647;12402;http://link.springer.com/journal/12402
"ADHESION ADHESIVES&amp;SEALANTS";2192-2624;;35784;http://link.springer.com/journal/35784
"adhÃ¤sion KLEBEN &amp; DICHTEN";1619-1919;2192-8681;35145;http://link.springer.com/journal/35145
Administration and Policy in Mental Health and Mental Health Services Research;0894-587X;1573-3289;10488;http://link.springer.com/journal/10488
Adsorption;0929-5607;1572-8757;10450;http://link.springer.com/journal/10450
Advanced Performance Materials;0929-1881;1572-8765;10491;http://link.springer.com/journal/10491
Advances in Applied Clifford Algebras;0188-7009;1661-4909;6;http://link.springer.com/journal/6
Advances in Atmospheric Sciences;0256-1530;1861-9533;376;http://link.springer.com/journal/376
Advances in Computational Mathematics;1019-7168;1572-9044;10444;http://link.springer.com/journal/10444
Advances in Contraception;0267-4874;1573-7195;10451;http://link.springer.com/journal/10451
Advances in Data Analysis and Classification;1862-5347;1862-5355;11634;http://link.springer.com/journal/11634
Advances in Difference Equations;;1687-1847;13662;http://link.springer.com/journal/13662
Advances in Gerontology;2079-0570;2079-0589;13329;http://link.springer.com/journal/13329
Advances in Health Sciences Education;1382-4996;1573-1677;10459;http://link.springer.com/journal/10459
Advances in Therapy;0741-238X;1865-8652;12325;http://link.springer.com/journal/12325
Aegean Review of the Law of the Sea and Maritime Law;1864-9610;1864-9629;12180;http://link.springer.com/journal/12180
Aequationes mathematicae;0001-9054;1420-8903;10;http://link.springer.com/journal/10
Aerobiologia;0393-5965;1573-3025;10453;http://link.springer.com/journal/10453
Aesthetic Plastic Surgery;0364-216X;1432-5241;266;http://link.springer.com/journal/266
African Archaeological Review;0263-0338;1572-9842;10437;http://link.springer.com/journal/10437
African Journal of Urology;1110-5704;1961-9987;12301;http://link.springer.com/journal/12301
Afrika Matematika;1012-9405;2190-7668;13370;http://link.springer.com/journal/13370
AGE;0161-9152;1574-4647;11357;http://link.springer.com/journal/11357
Ageing International;0163-5158;1936-606X;12126;http://link.springer.com/journal/12126
Aggiornamenti CIO;1970-6839;1970-6847;10351;http://link.springer.com/journal/10351
Agricultural Research;2249-720X;2249-7218;40003;http://link.springer.com/journal/40003
"Agriculture &amp; Food Security";;2048-7010;40066;http://link.springer.com/journal/40066
Agriculture and Human Values;0889-048X;1572-8366;10460;http://link.springer.com/journal/10460
Agroforestry Systems;0167-4366;1572-9680;10457;http://link.springer.com/journal/10457
Agronomy for Sustainable Development;1774-0746;1773-0155;13593;http://link.springer.com/journal/13593
"AI &amp; SOCIETY";0951-5666;1435-5655;146;http://link.springer.com/journal/146
AIDS and Behavior;1090-7165;1573-3254;10461;http://link.springer.com/journal/10461
AIDS Research and Therapy;;1742-6405;12981;http://link.springer.com/journal/12981
"Air Quality, Atmosphere &amp; Health";1873-9318;1873-9326;11869;http://link.springer.com/journal/11869
Algebra and Logic;0002-5232;1573-8302;10469;http://link.springer.com/journal/10469
Algebra Colloquium;1005-3867;0219-1733;10011;http://link.springer.com/journal/10011
algebra universalis;0002-5240;1420-8911;00012;http://link.springer.com/journal/00012
Algebra universalis;0002-5240;1420-8911;12;http://link.springer.com/journal/12
Algebras and Representation Theory;1386-923X;1572-9079;10468;http://link.springer.com/journal/10468
Algorithmica;0178-4617;1432-0541;453;http://link.springer.com/journal/453
Algorithms for Molecular Biology;;1748-7188;13015;http://link.springer.com/journal/13015
"Allergy, Asthma &amp; Clinical Immunology";;1710-1492;13223;http://link.springer.com/journal/13223
Alpine Botany;1664-2201;1664-221X;35;http://link.springer.com/journal/35
"Alzheimer's Research &amp; Therapy";;1758-9193;13195;http://link.springer.com/journal/13195
AMB Express;;2191-0855;13568;http://link.springer.com/journal/13568
AMBIO;0044-7447;1654-7209;13280;http://link.springer.com/journal/13280
American Journal of Cancer;1175-6357;;40280;http://link.springer.com/journal/40280
American Journal of Cardiovascular Drugs;1175-3277;1179-187X;40256;http://link.springer.com/journal/40256
