pid;issn;eissn;doi;title;pidurl;pidurltoc;subjectcategory;primarysubectarea;originalcompany;media
ABAC;0001-3072;1467-6281;10.1111/(ISSN)1467-6281;ABACUS;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6281;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6281/issues;Business, Economics, Finance and Accounting    ;General & Introductory Accounting;Blackwell;Print & Online
ABC;1086-4822;1536-0687;10.1002/(ISSN)1536-0687;ABOUT CAMPUS;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1536-0687;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1536-0687/issues;Education;Higher Education General;Wiley;Print & Online
ACEM;1069-6563;1553-2712;10.1111/(ISSN)1553-2712;ACADEMIC EMERGENCY MEDICINE;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1553-2712;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1553-2712/issues;Medical, Veterinary and Health Sciences;Emergency Medicine & Trauma;Blackwell;Print & Online
ACFI;0810-5391;1467-629X;10.1111/(ISSN)1467-629X;ACCOUNTING & FINANCE;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-629X;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-629X/issues;Business, Economics, Finance and Accounting    ;General & Introductory Accounting;Blackwell;Print & Online
APR;1911-382X;1911-3838;10.1111/(ISSN)1911-3838;ACCOUNTING PERSPECTIVES;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1911-3838;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1911-3838/issues;Business, Economics, Finance and Accounting;Financial Accounting;Wiley;Print & Online
ACEN;;;;ACEP NOW;;;;Emergency Medicine & Trauma;Wiley;Print
AAS;0001-5172;1399-6576;10.1111/(ISSN)1399-6576;ACTA ANAESTHESIOLOGICA SCANDINAVICA;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-6576;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-6576/issues;Medical, Veterinary and Health Sciences;Anesthesia & Pain Management;Blackwell;Print & Online
AAR;0065-101X;1600-0390;10.1111/(ISSN)1600-0390;ACTA ARCHAEOLOGICA;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0390;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0390/issues;Humanities and Social Sciences;European Archaeology;Blackwell;Print & Online
AYA;0108-7673;1600-5724;10.1111/(ISSN)1600-5724;ACTA CRYSTALLOGRAPHICA SECTION A (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5724;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5724/issues;Chemistry   ;Crystallography;Blackwell;Online
AYB;2052-5192;2052-5206;10.1111/(ISSN)2052-5206;ACTA CRYSTALLOGRAPHICA SECTION B (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2052-5206;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2052-5206/issues;Chemistry   ;Crystallography;Blackwell;Online
